day,icao,hour_utc,ticker,p_model,p_market,outcome
2026-07-01,KNYC,15,KXHIGHNY-26JUL01-B92.5,0.477,0.47,1.0
2026-07-01,KNYC,15,KXHIGHNY-26JUL01-B94.5,0.0865,0.365,0.0
2026-07-01,KNYC,15,KXHIGHNY-26JUL01-T99,0.0025,0.005,0.0
2026-07-01,KNYC,15,KXHIGHNY-26JUL01-B96.5,0.003,0.025,0.0
2026-07-01,KNYC,15,KXHIGHNY-26JUL01-B98.5,0.0,0.005,0.0
2026-07-01,KNYC,15,KXHIGHNY-26JUL01-T92,0.431,0.185,0.0
2026-07-01,KNYC,17,KXHIGHNY-26JUL01-B92.5,0.5575,0.27,1.0
2026-07-01,KNYC,17,KXHIGHNY-26JUL01-B94.5,0.0805,0.69,0.0
2026-07-01,KNYC,17,KXHIGHNY-26JUL01-T99,0.0,0.005,0.0
2026-07-01,KNYC,17,KXHIGHNY-26JUL01-B96.5,0.024,0.08,0.0
2026-07-01,KNYC,17,KXHIGHNY-26JUL01-B98.5,0.007,0.005,0.0
2026-07-01,KNYC,17,KXHIGHNY-26JUL01-T92,0.331,0.005,0.0
2026-07-01,KNYC,19,KXHIGHNY-26JUL01-B92.5,0.6105,0.825,1.0
2026-07-01,KNYC,19,KXHIGHNY-26JUL01-B94.5,0.049,0.16499999999999998,0.0
2026-07-01,KNYC,19,KXHIGHNY-26JUL01-T99,0.0,0.005,0.0
2026-07-01,KNYC,19,KXHIGHNY-26JUL01-B96.5,0.0005,0.005,0.0
2026-07-01,KNYC,19,KXHIGHNY-26JUL01-B98.5,0.0,0.005,0.0
2026-07-01,KNYC,19,KXHIGHNY-26JUL01-T92,0.34,0.005,0.0
2026-07-02,KNYC,15,KXHIGHNY-26JUL02-B103.5,0.022,0.025,0.0
2026-07-02,KNYC,15,KXHIGHNY-26JUL02-B105.5,0.0,0.005,0.0
2026-07-02,KNYC,15,KXHIGHNY-26JUL02-B101.5,0.172,0.32999999999999996,0.0
2026-07-02,KNYC,15,KXHIGHNY-26JUL02-T99,0.29,0.08499999999999999,0.0
2026-07-02,KNYC,15,KXHIGHNY-26JUL02-B99.5,0.5105,0.61,1.0
2026-07-02,KNYC,15,KXHIGHNY-26JUL02-T106,0.0055,0.005,0.0
2026-07-02,KNYC,17,KXHIGHNY-26JUL02-B103.5,0.0395,0.005,0.0
2026-07-02,KNYC,17,KXHIGHNY-26JUL02-B105.5,0.0305,0.005,0.0
2026-07-02,KNYC,17,KXHIGHNY-26JUL02-B101.5,0.3075,0.33,0.0
2026-07-02,KNYC,17,KXHIGHNY-26JUL02-T99,0.0,0.03,0.0
2026-07-02,KNYC,17,KXHIGHNY-26JUL02-B99.5,0.614,0.67,1.0
2026-07-02,KNYC,17,KXHIGHNY-26JUL02-T106,0.0085,0.005,0.0
2026-07-02,KNYC,19,KXHIGHNY-26JUL02-B103.5,0.029,0.005,0.0
2026-07-02,KNYC,19,KXHIGHNY-26JUL02-B105.5,0.0,0.005,0.0
