icao,series,name,live,parity,ticks,trades,win,total,total_vol25,holdout,median_day,worst_day,max_dd,brier_model,brier_market,verdict
KHOU,KXHIGHTHOU,Houston,True,1.0,198,20,0.55,661.52,518.07,-70.1,0.0,-59.48,-166.25,0.088,0.0915,GO
KATL,KXHIGHTATL,Atlanta,True,1.0,198,10,0.6,436.32,337.65,107.43,0.0,-44.12,-49.44,0.0706,0.0832,GO
KBOS,KXHIGHTBOS,Boston,True,1.0,198,16,0.25,-20.78,-25.79,32.38,0.0,-51.83,-153.6,0.0804,0.0714,no
KDFW,KXHIGHTDAL,Dallas,True,1.0,198,14,0.5,477.33,365.68,243.46,0.0,-47.45,-75.76,0.0718,0.0838,GO
KDCA,KXHIGHTDC,Washington DC,True,1.0,198,15,0.53,423.35,353.59,130.29,0.0,-65.56,-111.33,0.0874,0.0867,no
KLAS,KXHIGHTLV,Las Vegas,True,1.0,198,5,0.8,294.6,129.16,84.44,0.0,-42.95,-42.95,0.0526,0.063,GO
KMSP,KXHIGHTMIN,Minneapolis,True,1.0,198,13,0.62,527.1,376.52,192.39,0.0,-68.59,-132.56,0.0832,0.1004,GO
KMSY,KXHIGHTNOLA,New Orleans,True,1.0,198,10,0.7,581.96,183.26,165.97,0.0,-38.16,-38.16,0.0759,0.0939,GO
KOKC,KXHIGHTOKC,Oklahoma City,True,1.0,198,10,1.0,834.73,476.8,155.7,0.0,0.0,0.0,0.0827,0.0937,GO
KPHX,KXHIGHTPHX,Phoenix,True,1.0,198,3,0.67,120.31,62.39,96.64,0.0,-47.4,-47.4,0.0662,0.0868,GO
KSAT,KXHIGHTSATX,San Antonio,True,1.0,198,15,0.4,216.11,175.0,-40.21,0.0,-71.61,-111.08,0.0838,0.0732,no
KSEA,KXHIGHTSEA,Seattle,True,1.0,198,10,0.9,803.13,519.11,73.81,0.0,-16.19,-16.19,0.0772,0.1055,GO
KMIA,KXHIGHMIA,Miami,True,0.9,198,11,0.64,436.39,443.63,89.0,0.0,-47.21,-111.28,0.0655,0.0603,no
