day,icao,hour_utc,side,price,count,dropped,win,pnl
2026-07-12,KNYC,15,no,0.4,150,15,True,87.48
2026-07-13,KNYC,17,no,0.26,150,64,False,-41.03
2026-07-21,KNYC,15,yes,0.22,150,33,False,-34.81
2026-07-22,KNYC,19,no,0.24,150,65,True,112.08
2026-07-24,KNYC,15,no,0.34,150,68,True,96.64
2026-07-27,KNYC,15,no,0.44,150,24,False,-68.59
2026-07-31,KNYC,17,no,0.22,150,110,False,-34.81
2026-08-02,KNYC,15,no,0.28,121,0,False,-35.59
2026-08-05,KNYC,15,no,0.4,150,15,False,-62.52
2026-08-07,KNYC,19,no,0.16,90,156,True,74.75
2026-08-16,KNYC,15,no,0.27,144,0,False,-40.87
2026-07-02,KMDW,15,no,0.43,150,28,False,-67.08
2026-07-06,KMDW,17,yes,0.2,90,210,True,70.99
2026-07-07,KMDW,17,no,0.32,126,0,True,83.76
2026-07-17,KMDW,17,no,0.51,150,0,False,-79.13
2026-07-20,KMDW,15,no,0.57,133,0,True,54.9
2026-08-02,KMDW,19,no,0.3,150,81,True,102.79
2026-08-05,KMDW,17,no,0.25,150,150,False,-39.47
2026-08-11,KMDW,15,no,0.53,144,0,True,65.16
2026-08-17,KMDW,19,no,0.19,90,43,False,-18.07
2026-07-06,KAUS,19,no,0.29,118,0,True,82.07
2026-07-09,KAUS,17,no,0.29,150,6,False,-45.67
2026-07-11,KAUS,15,no,0.5,150,3,True,72.37
2026-07-31,KAUS,17,no,0.32,150,91,False,-50.29
2026-08-01,KAUS,15,no,0.67,113,0,True,35.54
2026-08-13,KAUS,17,no,0.22,144,0,False,-33.41
2026-08-17,KAUS,19,no,0.23,148,0,True,112.12
2026-07-03,KLAX,15,no,0.35,150,13,False,-54.89
2026-07-04,KLAX,15,no,0.27,150,24,True,107.43
2026-07-06,KLAX,17,no,0.34,150,41,False,-53.36
2026-07-07,KLAX,19,no,0.34,148,0,True,95.35
2026-07-08,KLAX,17,no,0.35,140,0,True,88.77
2026-07-11,KLAX,19,no,0.23,150,110,True,113.64
2026-07-12,KLAX,15,no,0.6,127,0,True,48.66
2026-07-13,KLAX,19,no,0.18,90,210,False,-17.13
2026-07-15,KLAX,17,no,0.4,150,13,False,-62.52
2026-07-16,KLAX,19,no,0.28,150,33,False,-44.12
2026-07-24,KLAX,17,no,0.36,150,62,True,93.58
2026-07-25,KLAX,19,no,0.2,90,93,False,-19.01
2026-07-27,KLAX,17,no,0.38,150,52,False,-59.48
2026-07-28,KLAX,15,no,0.39,150,6,False,-61.0
2026-07-29,KLAX,15,no,0.39,126,0,False,-51.24
2026-07-30,KLAX,15,no,0.4,150,24,False,-62.52
2026-07-31,KLAX,17,no,0.33,150,84,False,-51.83
2026-08-01,KLAX,17,no,0.4,150,13,False,-62.52
2026-08-02,KLAX,15,no,0.42,130,0,True,73.18
2026-08-03,KLAX,15,no,0.35,150,16,False,-54.89
2026-08-04,KLAX,15,no,0.28,150,127,False,-44.12
2026-08-05,KLAX,15,no,0.29,150,117,False,-45.67
2026-08-06,KLAX,15,no,0.21,90,210,False,-19.95
2026-08-07,KLAX,15,no,0.5,150,3,True,72.37
2026-08-08,KLAX,19,no,0.23,150,150,False,-36.36
2026-08-09,KLAX,15,no,0.31,150,70,False,-48.75
2026-08-11,KLAX,15,no,0.26,150,150,True,108.97
2026-08-16,KLAX,15,no,0.31,150,46,False,-48.75
2026-08-17,KLAX,19,no,0.19,90,23,False,-18.07
2026-08-18,KLAX,15,no,0.33,150,20,True,98.17
2026-07-03,KSFO,19,no,0.51,150,0,False,-79.13
2026-07-04,KSFO,15,no,0.54,141,0,False,-78.6
2026-07-06,KSFO,19,no,0.4,150,3,False,-62.52
2026-07-09,KSFO,19,no,0.44,145,0,False,-66.31
2026-07-12,KSFO,19,no,0.56,136,0,True,57.49
2026-07-18,KSFO,17,no,0.36,150,64,True,93.58
2026-07-20,KSFO,19,no,0.55,138,0,True,59.7
2026-07-25,KSFO,17,no,0.41,150,3,True,85.96
2026-07-30,KSFO,15,no,0.4,150,30,True,87.48
2026-08-02,KSFO,19,yes,0.2,90,206,False,-19.01
2026-08-10,KSFO,17,no,0.35,150,70,True,95.11
2026-08-13,KSFO,17,no,0.47,150,6,False,-73.12
2026-07-06,KDEN,19,no,0.29,150,22,False,-45.67
2026-07-27,KDEN,15,no,0.66,115,0,True,37.29
2026-08-14,KDEN,19,no,0.56,136,0,True,57.49
2026-08-18,KDEN,15,no,0.54,141,0,True,62.4
2026-07-03,KPHL,17,no,0.35,133,0,True,84.33
2026-07-05,KPHL,17,no,0.4,150,42,True,87.48
2026-07-06,KPHL,17,no,0.31,133,0,False,-43.23
2026-07-07,KPHL,19,no,0.32,128,0,False,-42.91
2026-07-13,KPHL,17,no,0.34,150,58,False,-53.36
2026-07-14,KPHL,15,no,0.38,150,52,True,90.52
2026-07-16,KPHL,19,no,0.25,150,18,False,-39.47
2026-07-20,KPHL,17,no,0.34,150,77,True,96.64
2026-08-13,KPHL,15,no,0.28,112,0,False,-32.95
2026-08-20,KPHL,17,no,0.62,122,0,True,44.34
