day,icao,hour_utc,side,price,count,dropped,win,pnl
2026-07-01,KNYC,17,no,0.33,150,84,True,98.17
2026-07-12,KNYC,17,no,0.22,150,28,False,-34.81
2026-07-13,KNYC,17,no,0.26,109,0,False,-29.81
2026-07-31,KNYC,17,no,0.22,125,0,False,-29.01
2026-08-07,KNYC,19,no,0.16,90,6,True,74.75
2026-08-08,KNYC,17,yes,0.27,150,138,True,107.43
2026-07-02,KMDW,15,no,0.43,144,0,False,-64.4
2026-07-06,KMDW,17,yes,0.2,90,75,True,70.99
2026-07-18,KMDW,19,no,0.17,90,92,True,73.81
2026-07-20,KMDW,17,yes,0.17,90,210,True,73.81
2026-08-01,KMDW,17,no,0.29,150,117,True,104.33
2026-08-05,KMDW,17,no,0.25,150,50,False,-39.47
2026-08-10,KMDW,17,no,0.28,150,127,True,105.88
2026-08-11,KMDW,15,no,0.53,144,0,True,65.16
2026-07-11,KAUS,15,yes,0.18,90,210,True,72.87
2026-08-14,KAUS,17,no,0.22,150,150,True,115.19
2026-07-03,KLAX,19,no,0.22,137,0,False,-31.79
2026-07-11,KLAX,19,no,0.23,120,0,True,90.91
2026-07-13,KLAX,19,no,0.18,90,97,False,-17.13
2026-07-19,KLAX,17,no,0.23,150,48,False,-36.36
2026-07-27,KLAX,17,no,0.38,138,0,False,-54.72
2026-07-28,KLAX,17,no,0.24,150,0,False,-37.92
2026-07-29,KLAX,17,no,0.34,117,0,False,-41.62
2026-07-31,KLAX,17,no,0.33,140,0,False,-48.37
2026-08-02,KLAX,17,no,0.25,150,29,True,110.53
2026-08-03,KLAX,15,no,0.35,116,0,False,-42.45
2026-08-04,KLAX,15,no,0.28,150,17,False,-44.12
2026-08-05,KLAX,15,no,0.29,141,0,False,-42.93
2026-08-06,KLAX,15,no,0.21,90,74,False,-19.95
2026-08-07,KLAX,17,no,0.4,150,42,True,87.48
2026-08-09,KLAX,19,no,0.16,90,22,False,-15.25
2026-08-11,KLAX,15,no,0.26,126,0,True,91.54
2026-08-18,KLAX,15,no,0.33,114,0,True,74.61
2026-07-20,KSFO,15,yes,0.17,90,102,False,-16.19
2026-07-21,KSFO,19,no,0.26,150,10,False,-41.03
2026-08-02,KSFO,19,yes,0.2,90,59,False,-19.01
2026-08-10,KSFO,15,no,0.33,150,75,True,98.17
2026-08-23,KSFO,19,yes,0.29,150,62,True,104.33
2026-07-27,KDEN,17,yes,0.37,150,58,False,-57.95
2026-08-18,KDEN,15,no,0.54,141,0,True,62.4
2026-07-05,KPHL,17,no,0.4,150,20,True,87.48
2026-07-14,KPHL,15,yes,0.17,90,173,True,73.81
2026-07-20,KPHL,17,no,0.34,119,0,True,76.67
2026-08-13,KPHL,17,no,0.3,129,0,False,-40.6
2026-08-16,KPHL,17,no,0.33,150,84,False,-51.83
