day,icao,hour_utc,side,price,count,dropped,win,pnl,ticker,yes_ask,yes_bid,next_yes_ask,next_yes_bid
2026-07-13,KNYC,17,no,0.26,109,0,False,-29.81,KXHIGHNY-26JUL13-B84.5,0.78,0.75,0.53,0.52
2026-08-08,KNYC,17,yes,0.27,150,138,True,107.43,KXHIGHNY-26AUG08-T89,0.26,0.22,0.7,0.67
2026-07-02,KMDW,15,no,0.43,144,0,False,-64.4,KXHIGHCHI-26JUL02-B95.5,0.6,0.58,0.5,0.48
2026-07-06,KMDW,17,yes,0.2,90,75,True,70.99,KXHIGHCHI-26JUL06-B80.5,0.19,0.18,0.86,0.85
2026-07-18,KMDW,19,no,0.17,90,92,True,73.81,KXHIGHCHI-26JUL18-B89.5,0.85,0.84,0.82,0.8
2026-07-20,KMDW,17,yes,0.17,90,210,True,73.81,KXHIGHCHI-26JUL20-T83,0.16,0.14,0.32,0.28
2026-08-01,KMDW,17,no,0.29,150,117,True,104.33,KXHIGHCHI-26AUG01-B72.5,0.73,0.72,0.01,0.0
2026-08-05,KMDW,17,no,0.25,150,50,False,-39.47,KXHIGHCHI-26AUG05-B83.5,0.78,0.76,0.95,0.94
2026-08-10,KMDW,17,no,0.28,150,127,True,105.88,KXHIGHCHI-26AUG10-B84.5,0.74,0.73,0.01,0.0
2026-08-11,KMDW,15,no,0.53,144,0,True,65.16,KXHIGHCHI-26AUG11-T80,0.49,0.48,0.41,0.4
2026-07-11,KAUS,15,yes,0.18,90,210,True,72.87,KXHIGHAUS-26JUL11-T91,0.17,0.16,0.32,0.28
2026-08-14,KAUS,17,no,0.22,150,150,True,115.19,KXHIGHAUS-26AUG14-B99.5,0.81,0.79,0.81,0.78
2026-07-03,KLAX,19,no,0.22,137,0,False,-31.79,KXHIGHLAX-26JUL03-B73.5,0.8,0.79,0.97,0.96
2026-07-13,KLAX,19,no,0.18,90,97,False,-17.13,KXHIGHLAX-26JUL13-B75.5,0.85,0.83,0.96,0.95
2026-07-19,KLAX,17,no,0.23,150,48,False,-36.36,KXHIGHLAX-26JUL19-B77.5,0.79,0.78,0.9,0.89
2026-07-27,KLAX,17,no,0.38,138,0,False,-54.72,KXHIGHLAX-26JUL27-B79.5,0.64,0.63,0.86,0.85
2026-07-28,KLAX,17,no,0.24,150,0,False,-37.92,KXHIGHLAX-26JUL28-B78.5,0.78,0.77,0.82,0.81
2026-07-29,KLAX,17,no,0.34,117,0,False,-41.62,KXHIGHLAX-26JUL29-B79.5,0.68,0.67,0.92,0.9
2026-07-31,KLAX,17,no,0.33,140,0,False,-48.37,KXHIGHLAX-26JUL31-B80.5,0.69,0.68,0.97,0.96
2026-08-02,KLAX,17,no,0.25,150,29,True,110.53,KXHIGHLAX-26AUG02-B80.5,0.77,0.76,0.67,0.65
2026-08-03,KLAX,15,no,0.35,116,0,False,-42.45,KXHIGHLAX-26AUG03-B78.5,0.67,0.66,0.61,0.6
2026-08-04,KLAX,15,no,0.28,150,17,False,-44.12,KXHIGHLAX-26AUG04-B77.5,0.74,0.73,0.79,0.78
2026-08-05,KLAX,15,no,0.29,141,0,False,-42.93,KXHIGHLAX-26AUG05-B77.5,0.73,0.72,0.75,0.74
2026-08-06,KLAX,15,no,0.21,90,74,False,-19.95,KXHIGHLAX-26AUG06-B78.5,0.81,0.8,0.86,0.85
2026-08-07,KLAX,17,no,0.4,150,42,True,87.48,KXHIGHLAX-26AUG07-B77.5,0.62,0.61,0.06,0.05
2026-08-09,KLAX,19,no,0.16,90,22,False,-15.25,KXHIGHLAX-26AUG09-B79.5,0.86,0.85,0.92,0.91
2026-08-11,KLAX,15,no,0.26,126,0,True,91.54,KXHIGHLAX-26AUG11-B78.5,0.78,0.75,0.74,0.73
2026-08-18,KLAX,15,no,0.33,114,0,True,74.61,KXHIGHLAX-26AUG18-B79.5,0.7,0.68,0.63,0.62
2026-07-20,KSFO,15,yes,0.17,90,102,False,-16.19,KXHIGHTSFO-26JUL20-B73.5,0.16,0.15,0.13,0.12
2026-07-21,KSFO,19,no,0.26,150,10,False,-41.03,KXHIGHTSFO-26JUL21-T82,0.78,0.75,0.81,0.79
2026-08-02,KSFO,19,yes,0.2,90,59,False,-19.01,KXHIGHTSFO-26AUG02-B78.5,0.19,0.17,0.51,0.49
2026-08-10,KSFO,15,no,0.33,150,75,True,98.17,KXHIGHTSFO-26AUG10-T72,0.71,0.68,0.68,0.66
2026-08-23,KSFO,19,yes,0.29,150,62,True,104.33,KXHIGHTSFO-26AUG23-T76,0.28,0.26,1.0,0.99
2026-07-27,KDEN,17,yes,0.37,150,58,False,-57.95,KXHIGHDEN-26JUL27-T93,0.36,0.35,0.7,0.66
2026-08-18,KDEN,15,no,0.54,141,0,True,62.4,KXHIGHDEN-26AUG18-B91.5,0.52,0.47,0.5,0.49
2026-07-05,KPHL,17,no,0.4,150,20,True,87.48,KXHIGHPHIL-26JUL05-B91.5,0.64,0.61,0.76,0.75
2026-07-14,KPHL,15,yes,0.17,90,173,True,73.81,KXHIGHPHIL-26JUL14-B91.5,0.16,0.15,0.18,0.15
2026-07-20,KPHL,17,no,0.34,119,0,True,76.67,KXHIGHPHIL-26JUL20-B86.5,0.68,0.67,0.24,0.22
2026-08-13,KPHL,17,no,0.3,129,0,False,-40.6,KXHIGHPHIL-26AUG13-B90.5,0.72,0.71,0.77,0.75
2026-08-16,KPHL,17,no,0.33,150,84,False,-51.83,KXHIGHPHIL-26AUG16-B79.5,0.69,0.68,0.88,0.84
