config,scenario,trades,design,holdout,total,worst_day,zero_vol_hours
control (±1.5°),as-is,50,858.34,-68.55,789.79,-109.5,1
control (±1.5°),vol 25%,49,768.28,-48.0,720.28,-109.5,1
control (±1.5°),vol 10%,49,508.45,-75.43,433.02,-88.24,1
control (±1.5°),vol 25% + stale,49,692.99,-75.27,617.72,-109.5,1
control (±1.5°),live ratio,50,433.99,-28.9,405.09,-61.41,1
gate ±1.0°,as-is,71,1929.04,20.08,1949.12,-109.5,0
gate ±1.0°,vol 25%,71,1688.69,32.81,1721.5,-109.5,0
gate ±1.0°,vol 10%,71,1141.08,6.33,1147.41,-85.14,0
gate ±1.0°,vol 25% + stale,71,1633.09,-35.49,1597.6,-109.5,0
gate ±1.0°,live ratio,71,1026.32,24.94,1051.26,-61.41,0
no gate,as-is,156,4094.72,172.37,4267.09,-145.86,1
no gate,vol 25%,155,3369.41,32.3,3401.71,-145.86,1
no gate,vol 10%,155,2353.92,12.68,2366.6,-120.75,1
no gate,vol 25% + stale,155,2890.82,-48.71,2842.11,-168.98,1
no gate,live ratio,156,2267.21,90.03,2357.24,-81.78,1
model_w 0.25,as-is,19,875.63,-35.2,840.43,-48.5,0
model_w 0.25,vol 25%,19,875.16,-35.2,839.96,-45.95,0
model_w 0.25,vol 10%,19,658.3,-35.2,623.1,-45.95,0
model_w 0.25,vol 25% + stale,19,791.11,-50.99,740.12,-62.77,0
model_w 0.25,live ratio,19,407.99,-10.18,397.81,-25.57,0
