variant,ticks,coverage90,trades,total,total_vol25,holdout,lead_15Z,lead_17Z,lead_19Z
base (live quote),3216,0.977,172,6699.49,4688.24,1083.19,0.014,0.0115,0.0066
window 30,3216,0.98,185,6894.65,5214.1,1399.25,0.0129,0.0107,0.0064
window 60,3216,0.979,173,6923.54,4860.2,1382.92,0.0142,0.0115,0.0072
window 90,3216,0.98,171,7100.75,4958.67,1381.79,0.0146,0.0121,0.0074
bias 30d,3216,0.978,159,6499.26,4674.46,1144.28,0.014,0.0114,0.0066
bias 60d,3216,0.977,165,6955.04,4972.99,1144.28,0.0141,0.0114,0.0066
shrink clip 0.5-1.6,3216,0.976,167,6608.97,4561.56,1140.27,0.014,0.0116,0.007
+ukmo,3216,0.979,170,6961.54,4874.0,1427.06,0.0141,0.0116,0.0071
+nbm,3216,0.977,172,6656.27,4691.17,1266.44,0.0137,0.0115,0.0069
+hrrr,3216,0.98,153,7547.11,5038.03,1798.67,0.0185,0.0156,0.0095
